iter	Logloss
0	0.6697189687
1	0.6474197083
2	0.6274173329
3	0.6101136612
4	0.5894717292
5	0.5711950917
6	0.555074913
7	0.5390699749
8	0.5247622261
9	0.5100164371
10	0.4960552755
11	0.4825429478
12	0.4722834002
13	0.4596706599
14	0.4482664922
15	0.4393833353
16	0.4310239694
17	0.4230370273
18	0.4154691447
19	0.4075212537
20	0.4001764366
21	0.394333728
22	0.3891908057
23	0.3848879502
24	0.3802358836
25	0.3759402319
26	0.3705912167
27	0.3661610142
28	0.3614778788
29	0.3575877515
30	0.3542280442
31	0.3500036856
32	0.3479889967
33	0.3445006494
34	0.341888627
35	0.3385838677
36	0.3352788889
37	0.3329980474
38	0.3301472296
39	0.3283205653
40	0.3260882205
41	0.323952284
42	0.3211781085
43	0.3188922788
44	0.3171414313
45	0.3157955052
46	0.3137451437
47	0.3114191201
48	0.3094075601
49	0.3070703263
50	0.3051078463
51	0.3031117624
52	0.3009597514
53	0.2996639153
54	0.2980909734
55	0.2963360016
56	0.2949520664
57	0.2933592346
58	0.2923445451
59	0.291211646
60	0.2896614844
61	0.2889614519
62	0.2879585706
63	0.2864037535
64	0.284927694
65	0.2839209514
66	0.2830546604
67	0.2816888638
68	0.2805322064
69	0.2794652498
70	0.2784689064
71	0.2767630728
72	0.2755950058
73	0.2746451744
74	0.2741192191
75	0.2728828703
76	0.2715792095
77	0.2706520721
78	0.2694656357
79	0.2689003603
80	0.2681882988
81	0.2676446077
82	0.2670166435
83	0.2661098021
84	0.2650727135
85	0.264259582
86	0.263353629
87	0.2626716393
88	0.2617873921
89	0.260867305
90	0.2598704221
91	0.2589908421
92	0.2583099873
93	0.2577467294
94	0.2572675599
95	0.2567699414
96	0.2559236783
97	0.2551161632
98	0.2544355121
99	0.2536301036
100	0.252531574
101	0.2523557012
102	0.251654807
103	0.2510652311
104	0.2501054773
105	0.2494094943
106	0.2487737247
107	0.2477891411
108	0.2469694842
109	0.2460564411
110	0.245795831
111	0.2451908415
112	0.2445806495
113	0.2441207224
114	0.2435672944
115	0.2430618777
116	0.2420570293
117	0.2414755734
118	0.2410801109
119	0.2404862785
120	0.2396204156
121	0.2394300677
122	0.238907611
123	0.2381925311
124	0.2376283816
125	0.2368888315
126	0.2365319472
127	0.236073441
128	0.2358935013
129	0.2351844012
130	0.234573951
131	0.2340808095
132	0.233558502
133	0.2327313029
134	0.2320029359
135	0.2313991577
136	0.2311338992
137	0.2297551817
138	0.2291619154
139	0.2287757357
140	0.2279320727
141	0.2274084141
142	0.2269121291
143	0.2262838581
144	0.2259308514
145	0.2258757864
146	0.2253228127
147	0.2248306021
148	0.2244798278
149	0.2240225612
150	0.2233735758
151	0.2223702355
152	0.2215615881
153	0.2207905929
154	0.2206317917
155	0.2200289235
156	0.2194008302
157	0.2186896949
158	0.2184758512
159	0.2179253742
160	0.217780176
161	0.2173471755
162	0.2167515096
163	0.2162780588
164	0.2159914422
165	0.2153766426
166	0.2148226967
167	0.2145013562
168	0.2136936155
169	0.213302266
170	0.2130490555
171	0.2125986078
172	0.2120847516
173	0.2117041824
174	0.2114174631
175	0.2110637955
176	0.2107833575
177	0.2102197768
178	0.2095923136
179	0.2091489525
180	0.2089925485
181	0.2086083248
182	0.2082448789
183	0.2076205446
184	0.2070757072
185	0.2066179328
186	0.2060590759
187	0.2055718215
188	0.2054006544
189	0.2051238247
190	0.2048756717
191	0.2047338008
192	0.2045999915
193	0.2040769663
194	0.2035908826
195	0.2030596077
196	0.2028018989
197	0.2025333595
198	0.2023206301
199	0.2021193036
200	0.2017566922
201	0.2014681629
202	0.201189263
203	0.2005923633
204	0.2003942011
205	0.1999781933
206	0.1997084736
207	0.1993939463
208	0.1988699312
209	0.1984551403
210	0.1979060692
211	0.1978897714
212	0.197429371
213	0.1969968483
214	0.1963746743
215	0.1958191899
216	0.195497597
217	0.1948435554
218	0.1945580595
219	0.1941357459
220	0.1938658348
221	0.1932784154
222	0.1930890217
223	0.1926931167
224	0.1921633689
225	0.1915130864
226	0.1910497746
227	0.1906384667
228	0.1899381768
229	0.1898711484
230	0.1895753171
231	0.1890357821
232	0.1887091801
233	0.1883150286
234	0.1878395073
235	0.187426769
236	0.186752532
237	0.1862864159
238	0.1858046331
239	0.1855819884
240	0.1852222995
241	0.1847713832
242	0.184746146
243	0.1841697808
244	0.1836976639
245	0.1832548903
246	0.1830651937
247	0.182695137
248	0.1824204299
249	0.1821085199
250	0.1815971314
251	0.1811805787
252	0.1808442874
253	0.1802481808
254	0.18000093
255	0.1796676352
256	0.1791589021
257	0.1786906821
258	0.178380234
259	0.1776247773
260	0.1771398119
261	0.1767458209
262	0.1761510593
263	0.175673675
264	0.175311472
265	0.1749416885
266	0.1747173678
267	0.1744181978
268	0.1739425818
269	0.1738751124
270	0.1736275765
271	0.1733972386
272	0.1730718293
273	0.1727468956
274	0.1724816682
275	0.1721072663
276	0.1719322245
277	0.1710415186
278	0.1707319348
279	0.1705271631
280	0.1702009944
281	0.1696979628
282	0.1693991065
283	0.1692577138
284	0.1686173219
285	0.1682162579
286	0.1674810198
287	0.1671850747
288	0.1668756968
289	0.166609338
290	0.1664044467
291	0.1662887828
292	0.1658616459
293	0.1655127985
294	0.1652670462
295	0.1644655418
296	0.1638516798
297	0.1630663664
298	0.1629315216
299	0.16222669
